Phase,Coin,Model,RMSE,MAE,MAPE%,R2
基準,BTC,LSTM,0.0452,0.0417,6.623,-2.788
基準,BTC,GRU,0.0422,0.0386,5.957,-2.154
基準★,BTC,HYBRID,0.0356,0.0316,4.906,-1.461
基準,ETH,LSTM,0.1858,0.1826,40.914,-26.187
基準★,ETH,GRU,0.16,0.1564,35.373,-18.496
基準,ETH,HYBRID,0.1608,0.1573,35.165,-17.998
OPT-A,BTC,HYBRID,0.0281,0.0239,3.654,-0.131
OPT-A,ETH,GRU,0.1126,0.1079,24.334,-8.899
OPT-A2,BTC,HYBRID,0.0271,0.0227,3.377,-0.041
OPT-A2,ETH,GRU,0.1278,0.1236,27.82,-10.576
OPT-B,BTC,HYBRID,0.0316,0.0274,4.105,-0.441
OPT-B,ETH,GRU,0.1448,0.141,31.113,-13.012
OPT-AB,BTC,HYBRID,0.024,0.0196,2.965,0.264
OPT-AB,ETH,GRU,0.1009,0.0957,18.946,-4.899
