Coin,Experiment,Strategy,FinalValue,Return%,MaxDrawdown%,Sharpe,NTrades
BTC,LSTM-BTC,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,LSTM-BTC,S1（無費）,8912.05,-10.88,-23.45,-0.509,16
BTC,LSTM-BTC,S2（含費）,8770.52,-12.29,-24.29,-0.585,16
BTC,LSTM-BTC,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
BTC,GRU-BTC,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,GRU-BTC,S1（無費）,10280.97,2.81,-16.19,0.247,36
BTC,GRU-BTC,S2（含費）,9917.26,-0.83,-16.78,0.039,36
BTC,GRU-BTC,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
BTC,HYBRID-BTC,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,HYBRID-BTC,S1（無費）,10924.64,9.25,-12.72,0.533,30
BTC,HYBRID-BTC,S2（含費）,10601.61,6.02,-13.33,0.393,30
BTC,HYBRID-BTC,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
BTC,HYBRID-BTC-OHLC,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,HYBRID-BTC-OHLC,S1（無費）,8719.15,-12.81,-19.36,-0.685,48
BTC,HYBRID-BTC-OHLC,S2（含費）,8310.32,-16.9,-21.08,-0.962,48
BTC,HYBRID-BTC-OHLC,S3（閾值1%）,10372.87,3.73,-0.1,0.976,2
BTC,HYBRID-BTC-OHLC-Range,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,HYBRID-BTC-OHLC-Range,S1（無費）,12429.8,24.3,-9.96,1.261,74
BTC,HYBRID-BTC-OHLC-Range,S2（含費）,11542.78,15.43,-12.54,0.874,74
BTC,HYBRID-BTC-OHLC-Range,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
BTC,HYBRID-BTC-xETH,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,HYBRID-BTC-xETH,S1（無費）,8741.3,-12.59,-20.08,-0.68,46
BTC,HYBRID-BTC-xETH,S2（含費）,8348.12,-16.52,-21.74,-0.949,46
BTC,HYBRID-BTC-xETH,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
BTC,HYBRID-BTC-AB,Buy & Hold,7907.81,-20.92,-49.74,-0.337,1
BTC,HYBRID-BTC-AB,S1（無費）,7836.98,-21.63,-40.55,-0.864,56
BTC,HYBRID-BTC-AB,S2（含費）,7409.96,-25.9,-42.08,-1.091,56
BTC,HYBRID-BTC-AB,S3（閾值1%）,7317.05,-26.83,-30.1,-1.791,4
ETH,HYBRID-ETH,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,HYBRID-ETH,S1（無費）,13250.18,32.5,-22.48,0.996,8
ETH,HYBRID-ETH,S2（含費）,13144.55,31.45,-22.71,0.974,8
ETH,HYBRID-ETH,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
ETH,LSTM-ETH,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,LSTM-ETH,S1（無費）,13364.26,33.64,-19.87,0.994,8
ETH,LSTM-ETH,S2（含費）,13257.72,32.58,-20.03,0.973,8
ETH,LSTM-ETH,S3（閾值1%）,9564.27,-4.36,-16.48,-0.06,4
ETH,GRU-ETH,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,GRU-ETH,S1（無費）,11688.06,16.88,-22.48,0.636,10
ETH,GRU-ETH,S2（含費）,11571.7,15.72,-22.71,0.608,10
ETH,GRU-ETH,S3（閾值1%）,10000.0,0.0,0.0,0.0,0
ETH,GRU-ETH-OHLC,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,GRU-ETH-OHLC,S1（無費）,12742.41,27.42,-14.36,0.862,12
ETH,GRU-ETH-OHLC,S2（含費）,12590.34,25.9,-14.53,0.831,12
ETH,GRU-ETH-OHLC,S3（閾值1%）,9598.17,-4.02,-10.53,-0.101,2
ETH,GRU-ETH-OHLC-Range,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,GRU-ETH-OHLC-Range,S1（無費）,13813.56,38.14,-24.47,1.119,8
ETH,GRU-ETH-OHLC-Range,S2（含費）,13703.43,37.03,-24.77,1.097,8
ETH,GRU-ETH-OHLC-Range,S3（閾值1%）,10114.12,1.14,-7.63,0.153,2
ETH,GRU-ETH-xBTC,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,GRU-ETH-xBTC,S1（無費）,12283.78,22.84,-17.93,0.787,12
ETH,GRU-ETH-xBTC,S2（含費）,12137.18,21.37,-18.18,0.752,12
ETH,GRU-ETH-xBTC,S3（閾值1%）,13960.49,39.6,-7.63,1.325,2
ETH,GRU-ETH-AB,Buy & Hold,12267.42,22.67,-62.29,0.64,1
ETH,GRU-ETH-AB,S1（無費）,13496.87,34.97,-19.59,1.044,10
ETH,GRU-ETH-AB,S2（含費）,13362.51,33.63,-19.91,1.016,10
ETH,GRU-ETH-AB,S3（閾值1%）,11716.11,17.16,-14.36,0.689,4
